"rodada_id","clube_casa_id","clube_visitante_id","clube_casa_posicao","clube_visitante_posicao","aproveitamento_mandante","aproveitamento_visitante","placar_oficial_mandante","placar_oficial_visitante","partida_data","local","valida"
1,266,277,6,14,"v","d",3.0,2.0,"2017-05-14 11:00:00","Maracanã",True
1,262,282,8,10,"e","e",1.0,1.0,"2017-05-13 16:00:00","Maracanã",True
1,275,267,2,19,"v","d",4.0,0.0,"2017-05-14 16:00:00","Arena Palmeiras",True
1,264,315,9,11,"e","e",1.0,1.0,"2017-05-13 19:00:00","Arena Corinthians",True
1,283,276,7,15,"v","d",1.0,0.0,"2017-05-14 16:00:00","Mineirão",True
1,294,373,4,17,"v","d",4.0,1.0,"2017-05-15 20:00:00","Couto Pereira",True
1,284,263,5,16,"v","d",2.0,0.0,"2017-05-14 19:00:00","Arena do Grêmio",True
1,265,293,1,18,"v","d",6.0,2.0,"2017-05-14 16:00:00","Fonte Nova",True
1,303,292,3,20,"v","d",4.0,0.0,"2017-05-14 16:00:00","Moisés Lucarelli",True
1,314,287,13,12,"e","e",0.0,0.0,"2017-05-14 16:00:00","Ressacada",True
2,263,303,8,15,"dv","vd",2.0,0.0,"2017-05-21 18:00:00","Engenhão",True
2,267,265,9,12,"dv","vd",2.0,1.0,"2017-05-21 11:00:00","São Januário",True
2,277,294,7,14,"dv","vd",1.0,0.0,"2017-05-20 16:00:00","Vila Belmiro",True
2,276,314,5,18,"dv","ed",2.0,0.0,"2017-05-22 20:00:00","Morumbi",True
2,282,266,16,3,"ed","vv",1.0,2.0,"2017-05-21 16:00:00","Independência",True
2,293,284,19,1,"dd","vv",0.0,2.0,"2017-05-21 16:00:00","Arena da Baixada",True
2,292,283,11,10,"de","ve",1.0,1.0,"2017-05-21 19:00:00","Ilha do Retiro",True
2,287,264,17,4,"ed","ev",0.0,1.0,"2017-05-21 16:00:00","Fonte Nova",True
2,373,262,20,2,"dd","ev",0.0,3.0,"2017-05-20 19:00:00","Serra Dourada",True
2,315,275,6,13,"ev","vd",1.0,0.0,"2017-05-20 19:00:00","Arena Condá",True
3,263,265,6,14,"dvv","vdd",1.0,0.0,"2017-05-28 19:00:00","Engenhão",True
3,267,266,7,15,"dvv","vvd",3.0,2.0,"2017-05-27 16:00:00","São Januário",True
3,277,283,17,5,"dvd","vev",0.0,1.0,"2017-05-28 16:00:00","Vila Belmiro",True
3,276,275,2,16,"dvv","vdd",2.0,0.0,"2017-05-27 19:00:00","Morumbi",True
3,282,303,11,10,"ede","vde",2.0,2.0,"2017-05-28 11:00:00","Independência",True
3,293,262,12,9,"dde","eve",1.0,1.0,"2017-05-28 16:00:00","Arena da Baixada",True
3,292,284,8,13,"dev","vvd",4.0,3.0,"2017-05-28 18:00:00","Ilha do Retiro",True
3,287,294,18,1,"edd","vdv",0.0,1.0,"2017-05-27 21:00:00","Fonte Nova",True
3,373,264,20,4,"ddd","evv",0.0,1.0,"2017-05-28 16:00:00","Serra Dourada",True
3,315,314,3,19,"evv","edd",2.0,0.0,"2017-05-29 20:00:00","Arena Condá",True
4,266,287,7,16,"vvdv","eddd",2.0,1.0,"2017-06-03 18:00:00","Maracanã",True
4,262,263,9,11,"evee","dvve",0.0,0.0,"2017-06-04 11:00:00","Raulino de Oliveira",True
4,275,282,10,12,"vdde","edee",0.0,0.0,"2017-06-04 16:00:00","Arena Palmeiras",True
4,264,277,5,15,"evvv","dvdd",2.0,0.0,"2017-06-03 19:00:00","Arena Corinthians",True
4,283,315,14,3,"vevd","evvv",0.0,2.0,"2017-06-04 19:00:00","Mineirão",True
4,294,293,4,19,"vdvv","dded",1.0,0.0,"2017-06-03 16:00:00","Couto Pereira",True
4,284,267,2,17,"vvdv","dvvd",2.0,0.0,"2017-06-04 16:00:00","Arena do Grêmio",True
4,265,373,1,20,"vddv","dddd",3.0,0.0,"2017-06-05 20:00:00","Fonte Nova",True
4,303,276,6,13,"vdev","dvvd",1.0,0.0,"2017-06-04 16:00:00","Moisés Lucarelli",True
4,314,292,8,18,"eddv","devd",1.0,0.0,"2017-06-04 11:00:00","Ressacada",True
5,266,293,10,11,"vvdve","ddede",1.0,1.0,"2017-06-06 20:00:00","Maracanã",False
5,267,264,20,2,"dvvdd","evvvv",2.0,5.0,"2017-06-07 21:45:00","São Januário",True
5,277,263,8,16,"dvddv","dvved",1.0,0.0,"2017-06-07 21:00:00","Pacaembu",True
5,276,287,5,19,"dvvdv","edddd",2.0,0.0,"2017-06-08 19:30:00","Morumbi",True
5,282,314,6,18,"edeev","eddvd",1.0,0.0,"2017-06-07 19:30:00","Independência",True
5,294,275,4,15,"vdvvv","vdded",1.0,0.0,"2017-06-07 19:30:00","Couto Pereira",True
5,292,262,7,13,"devdv","eveed",2.0,0.0,"2017-06-07 21:45:00","Ilha do Retiro",True
5,265,283,3,17,"vddvv","vevdd",1.0,0.0,"2017-06-08 21:00:00","Fonte Nova",True
5,373,303,9,14,"ddddv","vdevd",3.0,0.0,"2017-06-08 19:30:00","Olímpico (GO)",True
5,315,284,12,1,"evvvd","vvdvv",3.0,6.0,"2017-06-08 20:00:00","Arena Condá",True
6,263,294,11,9,"vvede","dvvve",2.0,2.0,"2017-06-11 11:00:00","Engenhão",True
6,267,292,8,18,"vvddv","evdvd",2.0,1.0,"2017-06-10 19:00:00","São Januário",True
6,275,266,3,16,"ddedv","vdved",3.0,1.0,"2017-06-10 16:00:00","Arena Palmeiras",True
6,264,276,2,14,"vvvvv","vvdvd",3.0,2.0,"2017-06-11 16:00:00","Arena Corinthians",True
6,283,373,5,20,"evddv","dddvd",2.0,0.0,"2017-06-11 18:30:00","Mineirão",True
6,293,277,19,6,"deded","vddvv",0.0,2.0,"2017-06-11 19:00:00","Arena da Baixada",True
6,284,265,1,13,"vdvvv","ddvvd",1.0,0.0,"2017-06-12 20:00:00","Arena do Grêmio",True
6,287,282,7,17,"ddddv","deevd",2.0,0.0,"2017-06-11 16:00:00","Barradão",True
6,303,315,4,15,"devdv","vvvdd",3.0,2.0,"2017-06-11 16:00:00","Moisés Lucarelli",True
6,314,262,12,10,"ddvde","veede",1.0,1.0,"2017-06-11 16:00:00","Ressacada",True
7,266,284,17,1,"dvedd","dvvvv",0.0,2.0,"2017-06-15 21:00:00","Maracanã",True
7,262,303,3,16,"eedev","evdvd",2.0,0.0,"2017-06-14 21:00:00","Luso-Brasileiro",True
7,277,275,5,14,"ddvvv","dedvd",1.0,0.0,"2017-06-14 21:45:00","Vila Belmiro",True
7,264,283,2,15,"vvvvv","vddvd",1.0,0.0,"2017-06-14 21:45:00","Arena Corinthians",True
7,282,293,18,7,"eevdd","ededv",0.0,1.0,"2017-06-14 19:30:00","Independência",True
7,294,265,9,8,"vvvee","dvvde",0.0,0.0,"2017-06-15 16:00:00","Couto Pereira",True
7,292,276,12,10,"vdvde","vdvde",0.0,0.0,"2017-06-14 19:30:00","Ilha do Retiro",True
7,287,263,13,11,"dddve","vedee",2.0,2.0,"2017-06-14 19:30:00","Barradão",True
7,373,314,6,19,"ddvdv","dvded",3.0,1.0,"2017-06-14 19:30:00","Olímpico (GO)",True
7,315,267,4,20,"vvddv","vddvd",2.0,1.0,"2017-06-14 21:45:00","Arena Condá",True
8,266,262,14,10,"vedde","edeve",2.0,2.0,"2017-06-18 16:00:00","Maracanã",True
8,267,314,5,19,"ddvdv","vdedd",1.0,0.0,"2017-06-17 19:00:00","São Januário",True
8,277,303,11,13,"dvvve","vdvde",0.0,0.0,"2017-06-17 21:00:00","Pacaembu",True
8,276,282,16,4,"dvded","evddv",1.0,2.0,"2017-06-18 16:00:00","Morumbi",True
8,283,284,12,7,"ddvde","vvvve",3.0,3.0,"2017-06-19 20:00:00","Mineirão",True
8,294,264,9,8,"vveee","vvvve",0.0,0.0,"2017-06-18 11:00:00","Couto Pereira",True
8,292,287,18,3,"dvded","ddvev",1.0,3.0,"2017-06-18 19:00:00","Ilha do Retiro",True
8,265,275,15,1,"vvded","edvdv",2.0,4.0,"2017-06-18 16:00:00","Fonte Nova",True
8,373,293,20,6,"dvdvd","dedvv",0.0,1.0,"2017-06-17 16:00:00","Olímpico (GO)",True
8,315,263,17,2,"vddvd","edeev",0.0,2.0,"2017-06-18 16:00:00","Arena Condá",True
9,263,267,4,18,"deevv","dvdvd",3.0,1.0,"2017-06-21 21:00:00","Engenhão",True
9,262,315,3,17,"devev","ddvdd",5.0,1.0,"2017-06-22 21:00:00","Luso-Brasileiro",True
9,275,373,5,19,"dvdvv","vdvdd",1.0,0.0,"2017-06-21 21:00:00","Arena Palmeiras",True
9,264,265,2,14,"vvvev","vdedd",3.0,0.0,"2017-06-22 19:30:00","Arena Corinthians",True
9,282,292,10,11,"vddve","vdede",2.0,2.0,"2017-06-21 21:45:00","Independência",True
9,293,276,9,13,"edvvv","vdedd",1.0,0.0,"2017-06-21 21:45:00","Arena da Baixada",True
9,284,294,1,12,"vvvev","veeed",2.0,0.0,"2017-06-22 21:00:00","Arena do Grêmio",True
9,287,277,16,6,"dvevd","vvvev",0.0,2.0,"2017-06-21 19:30:00","Barradão",True
9,303,283,8,15,"dvdev","dvded",1.0,0.0,"2017-06-22 19:30:00","Moisés Lucarelli",True
9,314,266,20,7,"deddd","eddev",0.0,3.0,"2017-06-21 21:45:00","Ressacada",True
10,263,314,13,9,"eevvd","edddv",0.0,2.0,"2017-06-26 20:00:00","Engenhão",True
10,267,373,8,20,"vdvdv","dvddd",1.0,0.0,"2017-06-25 11:00:00","São Januário",True
10,277,292,14,7,"vvevd","dedev",0.0,1.0,"2017-06-24 19:00:00","Vila Belmiro",True
10,276,266,11,10,"dedde","ddeve",1.0,1.0,"2017-06-25 16:00:00","Morumbi",True
10,283,294,4,15,"vdedv","eeedd",2.0,0.0,"2017-06-25 16:00:00","Mineirão",True
10,293,287,6,19,"dvvvv","vevdd",4.0,1.0,"2017-06-25 16:00:00","Arena da Baixada",True
10,284,264,12,1,"vvevd","vvevv",0.0,1.0,"2017-06-25 16:00:00","Arena do Grêmio",True
10,265,262,16,2,"deddd","evevv",0.0,1.0,"2017-06-25 18:30:00","Fonte Nova",True
10,303,275,17,3,"vdevd","vdvvv",1.0,2.0,"2017-06-25 16:00:00","Moisés Lucarelli",True
10,315,282,18,5,"dvddd","ddvev",0.0,1.0,"2017-06-25 19:00:00","Arena Condá",True
11,266,315,7,11,"devee","vddde",3.0,3.0,"2017-07-03 20:00:00","Giulite Coutinho",True
11,262,276,2,19,"vevvv","edded",2.0,0.0,"2017-07-02 16:00:00","Luso-Brasileiro",True
11,275,284,3,16,"dvvvv","vevdd",1.0,0.0,"2017-07-01 16:00:00","Pacaembu",True
11,264,263,1,17,"vevvv","evvdd",1.0,0.0,"2017-07-02 16:00:00","Arena Corinthians",True
11,282,283,4,18,"dvevv","dedvd",3.0,1.0,"2017-07-02 16:00:00","Independência",True
11,294,267,8,13,"eedde","dvdve",2.0,2.0,"2017-07-02 19:00:00","Durival Britto",True
11,292,293,5,20,"edevv","vvvvd",1.0,0.0,"2017-07-02 16:00:00","Ilha do Retiro",True
11,287,265,12,9,"evdde","eddde",0.0,0.0,"2017-07-02 16:00:00","Barradão",True
11,373,277,15,6,"vddde","vevde",1.0,1.0,"2017-07-01 19:00:00","Olímpico (GO)",True
11,314,303,14,10,"dddve","devde",0.0,0.0,"2017-07-02 19:00:00","Ressacada",True
12,263,282,10,9,"vvdde","vevve",1.0,1.0,"2017-07-09 19:00:00","Engenhão",True
12,267,262,19,2,"vdved","evvvv",0.0,1.0,"2017-07-08 18:00:00","São Januário",True
12,277,276,3,16,"evdev","ddedd",3.0,2.0,"2017-07-09 19:00:00","Vila Belmiro",True
12,264,303,1,18,"evvvv","evded",2.0,0.0,"2017-07-08 19:00:00","Arena Corinthians",True
12,283,275,4,15,"edvdv","vvvvd",3.0,1.0,"2017-07-09 16:00:00","Mineirão",True
12,294,292,17,5,"edded","devvv",0.0,3.0,"2017-07-10 20:00:00","Couto Pereira",True
12,284,314,14,7,"evddd","ddvev",0.0,2.0,"2017-07-09 16:00:00","Arena do Grêmio",True
12,265,266,11,8,"dddee","eveee",1.0,1.0,"2017-07-09 16:00:00","Fonte Nova",True
12,373,287,20,6,"ddded","vddev",1.0,2.0,"2017-07-08 16:00:00","Olímpico (GO)",True
12,315,293,13,12,"dddee","vvvde",1.0,1.0,"2017-07-09 11:00:00","Arena Condá",True
13,266,263,14,7,"veeed","vddev",0.0,1.0,"2017-07-12 21:00:00","Maracanã",True
13,262,284,12,2,"vvvvd","vdddv",0.0,1.0,"2017-07-13 19:30:00","Luso-Brasileiro",True
13,275,264,13,1,"vvvdd","vvvvv",0.0,2.0,"2017-07-12 21:45:00","Arena Palmeiras",True
13,276,373,10,11,"dedde","ddede",2.0,2.0,"2017-07-13 19:30:00","Morumbi",True
13,282,277,15,3,"evved","vdevv",0.0,1.0,"2017-07-12 19:30:00","Independência",True
13,293,283,16,5,"vvded","dvdvv",0.0,2.0,"2017-07-12 21:45:00","Arena da Baixada",True
13,292,315,4,18,"evvvv","ddeed",3.0,0.0,"2017-07-13 19:30:00","Arena de Pernambuco",True
13,287,267,19,9,"ddevd","dvedv",1.0,4.0,"2017-07-12 21:45:00","Barradão",True
13,303,265,17,6,"vdedd","ddeev",0.0,3.0,"2017-07-12 19:30:00","Moisés Lucarelli",True
13,314,294,20,8,"dvevd","ddedv",1.0,4.0,"2017-07-13 21:00:00","Ressacada",True
14,263,292,3,15,"ddevv","vvvvd",2.0,1.0,"2017-07-17 20:00:00","Engenhão",True
14,267,277,12,9,"vedve","devve",0.0,0.0,"2017-07-16 16:00:00","Engenhão",True
14,275,287,2,19,"vvddv","devdd",4.0,2.0,"2017-07-16 11:00:00","Arena Palmeiras",True
14,264,293,7,13,"vvvve","vdede",2.0,2.0,"2017-07-15 19:00:00","Arena Corinthians",True
14,283,262,10,8,"vdvve","vvvde",1.0,1.0,"2017-07-16 16:00:00","Mineirão",True
14,294,266,16,4,"dedvd","eeedv",1.0,2.0,"2017-07-16 19:00:00","Couto Pereira",True
14,284,303,1,18,"dddvv","deddd",3.0,1.0,"2017-07-16 16:00:00","Arena do Grêmio",True
14,265,314,11,14,"deeve","vevde",1.0,1.0,"2017-07-16 19:00:00","Pituaçu",True
14,373,282,20,5,"deded","vvedv",1.0,2.0,"2017-07-16 16:00:00","Olímpico (GO)",True
14,315,276,6,17,"deedv","edded",2.0,0.0,"2017-07-16 16:00:00","Arena Condá",True
15,266,283,12,10,"eedve","dvvee",1.0,1.0,"2017-07-20 19:30:00","Giulite Coutinho",True
15,262,275,8,9,"vvdee","vddve",2.0,2.0,"2017-07-19 21:45:00","Luso-Brasileiro",True
15,277,315,3,18,"evvev","eedvd",1.0,0.0,"2017-07-19 19:30:00","Vila Belmiro",True
15,276,267,5,17,"ddedv","edved",1.0,0.0,"2017-07-19 21:45:00","Morumbi",True
15,282,265,15,4,"vedvd","eevev",0.0,2.0,"2017-07-19 21:45:00","Independência",True
15,293,263,13,11,"dedee","devve",0.0,0.0,"2017-07-20 21:00:00","Arena da Baixada",True
15,292,373,2,20,"vvvdv","ededd",4.0,0.0,"2017-07-20 20:00:00","Ilha do Retiro",True
15,287,284,19,1,"evddd","ddvvv",1.0,3.0,"2017-07-19 19:30:00","Barradão",True
15,303,294,6,16,"edddv","edvdd",4.0,0.0,"2017-07-19 21:00:00","Moisés Lucarelli",True
15,314,264,14,7,"evdee","vvvee",0.0,0.0,"2017-07-19 21:00:00","Ressacada",True
16,266,264,12,1,"edved","vveev",0.0,1.0,"2017-07-23 16:00:00","Maracanã",True
16,262,294,4,15,"vdeev","dvddd",2.0,1.0,"2017-07-22 19:00:00","Luso-Brasileiro",True
16,277,265,3,14,"vvevv","evevd",3.0,0.0,"2017-07-23 11:00:00","Pacaembu",True
16,276,284,18,2,"dedve","dvvve",1.0,1.0,"2017-07-24 20:00:00","Morumbi",True
16,282,267,13,8,"edvdd","dvedv",1.0,2.0,"2017-07-23 19:00:00","Independência",True
16,293,303,16,10,"edeed","dddvv",0.0,2.0,"2017-07-23 19:00:00","Arena da Baixada",True
16,292,275,6,5,"vvdvd","ddvev",0.0,2.0,"2017-07-23 16:00:00","Arena de Pernambuco",True
16,287,315,19,11,"vdddd","edvdv",1.0,2.0,"2017-07-22 16:00:00","Barradão",True
16,373,263,20,7,"dedde","evvee",1.0,1.0,"2017-07-23 19:00:00","Olímpico (GO)",True
16,314,283,17,9,"vdeev","vveed",1.0,0.0,"2017-07-23 16:00:00","Ressacada",True
17,263,276,7,18,"evvee","dedve","","","2017-07-29 16:00:00","Engenhão",True
17,267,293,8,16,"dvedv","edeed","","","2017-07-31 20:00:00","Raulino de Oliveira",True
17,275,314,5,17,"ddvev","vdeev","","","2017-07-29 19:00:00","Arena Palmeiras",True
17,264,262,1,4,"vveev","vdeev","","","2017-07-30 16:00:00","Arena Corinthians",True
17,283,287,9,19,"vveed","vdddd","","","2017-07-30 19:00:00","Mineirão",True
17,294,282,15,13,"dvddd","edvdd","","","2017-07-30 16:00:00","Couto Pereira",True
17,284,277,2,3,"dvvve","vvevv","","","2017-07-30 19:00:00","Arena do Grêmio",True
17,265,292,14,6,"evevd","vvdvd","","","2017-07-30 16:00:00","Fonte Nova",True
17,303,266,10,12,"dddvv","edved","","","2017-07-30 16:00:00","Moisés Lucarelli",True
17,315,373,11,20,"edvdv","dedde","","","2017-07-30 11:00:00","Arena Condá",True
